Patrones: PayasoLanderANN
Salidas: GiroD, Nula, GiroI, ImpGiroD, Impulso, ImpGiroI
Entradas: Px, Py, Vx, Vy, Ang, Vv
29.611536,-24.869366,-42.242712,-1.691642,-1.145790,0.000000,5
25.602702,-25.360824,-39.300043,-10.113816,5.346582,0.000000,4
23.955793,-25.730297,-38.574861,-11.000438,11.386320,0.000000,1
19.278744,-26.148946,-35.238801,0.816415,20.455825,0.000000,0
15.462025,-25.609318,-32.516416,10.459399,-6.354888,0.000000,1
11.109446,-23.852444,-28.560096,19.089867,-32.564407,0.000000,4
9.034799,-22.907821,-21.391675,11.684182,-38.147236,0.000000,5
7.520449,-22.401728,-16.145358,6.868794,-22.122326,0.000000,1
4.157482,-19.608693,-13.833751,21.987606,3.279608,0.000000,4
3.767764,-19.185711,-13.749722,19.055922,3.456771,0.000000,3
3.007505,-18.522355,-13.055296,13.350359,-5.256881,0.000000,4
2.824565,-18.367580,-12.924743,14.472650,-7.523986,0.000000,1
0.298525,-14.709776,-10.499708,27.594546,-23.720839,0.000000,4
0.160631,-14.430155,-9.743052,26.148940,-25.065753,0.000000,3
-0.267508,-13.459211,-6.117973,20.725668,-36.664193,0.000000,4
-0.391006,-13.055353,-3.903202,18.267303,-41.954190,0.000000,5
-0.449343,-12.244491,0.441312,14.662610,-37.442415,0.000000,2
-0.443154,-12.075696,0.436899,15.772645,-35.134879,0.000000,1
-0.357396,-8.194694,0.375759,31.156762,-17.698716,0.000000,2
-0.329536,-6.240423,0.336267,32.637559,0.534045,0.000000,4
-0.433638,-3.942707,-2.340859,19.719294,18.317201,0.000000,3
-0.733910,-2.964212,-3.931137,13.873353,3.933970,0.000000,0
-0.788984,-2.803936,-3.891825,14.990150,0.271840,0.000000,1
0.996780,-85.640528,0.000000,0.000000,0.000000,0.000000,1
0.996780,-79.951033,0.000000,32.701872,0.000000,0.000000,1
0.996780,-65.250867,0.000000,56.889620,0.000000,0.000000,1
0.996780,-47.064199,0.000000,70.196995,0.000000,0.000000,4
0.996780,-40.648538,0.000000,53.976998,0.000000,0.000000,1
0.996780,-35.785401,0.000000,57.010815,0.000000,0.000000,4
0.996780,-26.556145,0.000000,20.391117,0.000000,0.000000,1
0.996780,-19.998333,0.000000,37.030228,0.000000,0.000000,4
0.996780,-15.885848,0.000000,15.385130,0.000000,0.000000,1
0.996780,-9.901756,0.000000,33.858179,0.000000,0.000000,4
0.996780,-6.287150,0.000000,12.693270,0.000000,0.000000,1
0.996780,-3.489079,0.000000,24.000749,0.000000,0.000000,4
30.946986,-69.205058,0.000000,0.000000,0.000000,0.000000,1
30.946986,-68.193583,0.000000,14.277360,0.930580,0.000000,2
30.930880,-66.052305,-1.135933,22.688002,44.732255,0.000000,5
30.843233,-65.603225,-3.799085,20.531362,57.311535,0.000000,4
30.405980,-64.816314,-10.208934,17.276804,74.892069,0.000000,3
29.610568,-64.125695,-15.150430,16.438429,75.780779,0.000000,0
28.979830,-63.528517,-14.700447,19.681744,68.550483,0.000000,1
24.385979,-54.886534,-12.638957,41.019866,47.962333,0.000000,4
23.758084,-53.656880,-15.855449,36.993142,48.445896,0.000000,5
20.931254,-50.632217,-28.118899,27.928316,83.242025,0.000000,3
16.328019,-48.199766,-40.596027,24.248808,73.700671,0.000000,0
12.997337,-46.418947,-38.220354,30.182308,40.939917,0.000000,1
8.848603,-43.496757,-35.586919,35.053444,12.118898,0.000000,4
